TIME,LONGITUDE,LATITUDE,RAINFALL,time,lon,lat,rf
1978-07-12,79.5,12.0,0.0,,,,
1978-07-13,79.5,12.0,0.0,,,,
1978-07-14,79.5,12.0,0.0,,,,
1978-07-15,79.5,12.0,1.759318232536316,,,,
1978-07-16,79.5,12.0,0.0,,,,
1978-07-17,79.5,12.0,0.0,,,,
1978-07-18,79.5,12.0,0.14030277729034424,,,,
1978-07-19,79.5,12.0,37.6811408996582,,,,
1978-07-20,79.5,12.0,0.27304238080978394,,,,
1978-07-21,79.5,12.0,3.0020225048065186,,,,
1978-07-22,79.5,12.0,0.24434976279735565,,,,
1978-07-23,79.5,12.0,4.485170364379883,,,,
1978-07-24,79.5,12.0,0.0,,,,
1978-07-25,79.5,12.0,2.0465312004089355,,,,
1978-07-26,79.5,12.0,1.2145177125930786,,,,
1978-07-27,79.5,12.0,10.380487442016602,,,,
1978-07-28,79.5,12.0,4.349386215209961,,,,
1978-07-29,79.5,12.0,0.0,,,,
1978-07-30,79.5,12.0,0.0,,,,
1978-07-31,79.5,12.0,0.0,,,,
1978-08-01,79.5,12.0,0.0,,,,
1978-08-02,79.5,12.0,2.3204472064971924,,,,
1978-08-03,79.5,12.0,0.0,,,,
1978-08-04,79.5,12.0,0.0,,,,
1978-08-05,79.5,12.0,2.0990419387817383,,,,
1978-08-06,79.5,12.0,70.69637298583984,,,,
1978-08-07,79.5,12.0,0.0,,,,
1978-08-08,79.5,12.0,6.690042972564697,,,,
1978-08-09,79.5,12.0,14.408926963806152,,,,
1978-08-10,79.5,12.0,2.6315577030181885,,,,
1978-08-11,79.5,12.0,5.268553256988525,,,,
1978-08-12,79.5,12.0,0.0,,,,
1978-08-13,79.5,12.0,2.0760974884033203,,,,
1978-08-14,79.5,12.0,2.0760974884033203,,,,
1978-08-15,79.5,12.0,0.0,,,,
1978-08-16,79.5,12.0,0.0,,,,
1978-08-17,79.5,12.0,0.0,,,,
1978-08-18,79.5,12.0,0.0,,,,
1978-08-19,79.5,12.0,5.955987930297852,,,,
1978-08-20,79.5,12.0,1.4542163610458374,,,,
1978-08-21,79.5,12.0,0.10739748179912567,,,,
1978-08-22,79.5,12.0,18.025602340698242,,,,
1978-08-23,79.5,12.0,0.0,,,,
1978-08-24,79.5,12.0,0.0,,,,
1978-08-25,79.5,12.0,0.0,,,,
1978-08-26,79.5,12.0,0.0,,,,
1978-08-27,79.5,12.0,0.0,,,,
1978-08-28,79.5,12.0,0.0,,,,
1978-08-29,79.5,12.0,0.0,,,,
1978-08-30,79.5,12.0,0.0,,,,
1978-08-31,79.5,12.0,14.596138954162598,,,,
1978-09-01,79.5,12.0,0.11691898107528687,,,,
1978-09-02,79.5,12.0,0.0,,,,
1978-09-03,79.5,12.0,0.0,,,,
1978-09-04,79.5,12.0,0.7950490713119507,,,,
1978-09-05,79.5,12.0,0.0,,,,
1978-09-06,79.5,12.0,54.26995086669922,,,,
1978-09-07,79.5,12.0,18.86481475830078,,,,
1978-09-08,79.5,12.0,25.487403869628906,,,,
1978-09-09,79.5,12.0,66.23094940185547,,,,
1978-09-10,79.5,12.0,44.649559020996094,,,,
1978-09-11,79.5,12.0,28.465608596801758,,,,
1978-09-12,79.5,12.0,13.094514846801758,,,,
